labname,Address,country,affiliation,status,diagnostic,patient,research,latitude,longitude,absl4,acl4,containment,date,focus,size,type,urban,labtype
California NanoSystems Institute (CNSI)," 570 Westwood Plaza Building 114 | Mail Code: 722710 Los Angeles, CA 90095", United States,University of California Los Angeles (UCLA),Operational,No,No,Research: Yes,34.07,-118.44,,,,,Human,,University,Yes,BSL3+
Intergrated Research Facility at Rocky Mountain Lab (IRF - RML)," 903 South 4th Street, Hamilton, Montana 59840 United States", United States,"National Institutes of Health (NIH), Department of Health and Human Services (HHS), National Institute of Allergy and Infectious Diseases (NIAID)",Operational,,,,46.24,-114.16,No,No,Suit,2008,Human,1145 SqM,Public Health,No,BSL4
The Institute for Antiviral Research (IAR) - College of Agriculture and Applied Sciences," 4800 Old Main Hill Logan, UT 84322 AGRS 421", United States,Utah State University,Operational,No,No,Research: Yes,41.74,-111.81,,,,,Both,,University,Yes,BSL3+
"Vaccine and Infectious Disease Organization, Centre for Pandemic Research"," 120 Veterinary Road Saskatoon, SK, S7N 5E3 Canada", Canada,University of Saskatchewan,Planned,,,,52.14,-106.63,Unknown,Unknown,Unknown,Announced 2021,Both,,University,Yes,BSL4
Lovelace Respiratory Research Institute," 2425 Ridgecrest Dr SE, Albuquerque, NM 87108, United States", United States,Lovelace Respiratory Research Institute,Operational,No,No,Research: Yes,35.06,-106.58,,,,,Human,,Private,Yes,BSL3+
"The Betty Slick and Lewis J. Moorman, Jr. Laboratory Complex"," 8715 W. Military Dr., San Antonio, TX 78227", United States,Texas Biomedical Research Institute,Operational,,,,29.44,-98.64,Yes,No,Suit,1970s,Human,114 SqM,Private,Yes,BSL4
National Microbiology Laboratory (NML)," 1015 Arlington Avenue, Winnipeg, Manitoba", Canada,Public Health Agency of Canada,Operational,,,,49.91,-97.16,Yes,No,Suit,1999,Human,185 SqM,Public Health,Yes,BSL4
National Bio and Agro-Defense Facility (NBAF)," Kansas State Univeristy, Manhattan, KS 66502", United States,"US Department of Homeland Security, US Department of Agriculture",Under Construction,,,,39.2,-96.58,Yes,No,Unknown,Expected 2024,Animal,4084 SqM,Public Health,No,BSL4
Biosecurity Research Institute," 1041 Pat Roberts Hall 1900 Denison Avenue, Manhattan, KS 66506-7600", United States,Kansas State University,Operational,No,No,Research: Yes,39.2,-96.58,,,,,Human,,University,No,BSL3+
Center for Biodefense and Emerging Infectious Diseases Shope Laboratory," 915 Strand St. Galveston, TX 77555-0609", United States,The University of Texas Medical Branch,Operational,,,,29.31,-94.78,No,No,Suit,2003,Human,186 SqM,University,No,BSL4
Galveston National Laboratory," 301 University Boulevard, Galveston, Texas 77555", United States,The University of Texas Medical Branch,Operational,,,,29.31,-94.78,Yes,Yes,Suit,2010,Human,1022 SqM,University,No,BSL4
Galveston National Laboratory (GNL)," 301 University Boulevard, Galveston, Texas 77555", United States,Texas Medical Branch University,Operational,No,No,Research: Yes,29.31,-94.78,,,,,Human,,University,No,BSL3+
Midwest Research Institute (MRI) - Influenza and Respiratory Pathogen Research Center," 425 Dr Martin Luther King Jr Blvd Kansas City, MO 64110", United States,Midwest Research Institute,Operational,Yes,Research: Yes,,39.04,-94.58,,,,,Human,,Public Health,Yes,BSL3+
Department of Molecular Microbiology Research Laboratory Facility, Office of the University Registrar Campus Box 1143 St. Louis MO 63130, United States,Washington University,Operational,No,Research: Yes,,38.63,-90.26,,,,,Animal,,University,Yes,BSL3+
Center for Infectious Disease Research (CIDR)," TBRC, 3rd Floor 8701 Watertown Plank Rd. Milwaukee, WI 53226", United States,Medical College of Wisconsin,Operational,Yes,Yes,Research: Yes,43.04,-88.02,,,,,Both,,University,Yes,BSL3+
IIT Research Institute," 10 West 35th Street Chicago, IL 60616", United States,Illinois Institute of Technology (IIT),Operational,Yes,No,Research: Yes,41.83,-87.63,,,,,Human,,Private,Yes,BSL3+
High Containment Core (HCC) (formerly the Viral Immunology Center)," 100 Piedmont Avenue SE, Atlanta, GA 30303", United States,Georgia State University,Operational,,,,33.75,-84.39,Yes,No,Both,1988,Human,60 SqM,University,Yes,BSL4
Centers for Disease Control and Prevention (CDC)," 1600 Clifton Road N.E., Atlanta, Georgia, 30329", United States,"Centers for Disease Control and Prevention (CDC), Department of Health and Human Services (HHS)",Operational,,,,33.8,-84.33,No,No,Suit,1988,Human,533 SqM,Public Health,Yes,BSL4
High-Containment Continuity Laboratory (HCCL)," Atlanta, GA 75D301-18-R-67933 (CDC Roybal Campus)", United States,Center for Disease Control and Prevention (CDC),Under construction,Unknown,Unknown,Research: Unknown,33.88,-84.29,,,,,Human,,Public Health,Yes,BSL3+
University of Georgia," 1197 S Lumpkin St, Athens, GA 30602, United States", United States,Georgia University,Operational,Yes,No,Research: Yes,33.94,-83.38,,,,,Human,,University,Yes,BSL3+
The Southeast Poultry Research Laboratory (SEPRL)," 934 College Station Road Athens, GA 30605", United States,U.S. Department of Agriculture (USDA),Operational,No,No,Research: Yes,33.93,-83.36,,,,,Animal,,Public Health,No,BSL3+
Battelle Biomedical Research Center (BRC)," 505 King Ave, Columbus, OH 43201, United States", United States,Battelle,Operational,Yes,Yes,Research: Yes,39.99,-83.02,,,,,Both,,Private,Yes,BSL3+
Regional Biocontainment Laboratory (Center for Vaccine Research)," 3501 Fifth Avenue Pittsburgh, Pennsylvania 15261", United States,Pittsburgh University,Operational,No,Yes,Research: No,40.44,-79.96,,,,,Animal,,University,Yes,BSL3+
ZeptoMetrix Corp," 878 Main St, Buffalo, NY 14202, United States", United States,ZeptoMetrix Corp,Operational,No,No,Research: Yes,42.9,-78.87,,,,,Human,,Private,Yes,BSL3+
US Army Medical Research Institute of Infectious Diseases (USAMRIID)," 1425 Porter Street, Fort Detrick, Frederick, Maryland 21702-5011", United States,"U.S. Army Medical Research and Materiel Command, Department of Defense",Operational,,,,39.44,-77.42,Yes,No,Suit,1969,Human,1186 SqM,Defense,Yes,BSL4
National Biodefense Analysis and Countermeasures Center (NBACC)," 8300 Research Plaza, Fort Detrick, Maryland 21702", United States,U.S. Department of Homeland Security Science and Technology Directorate Operated by Battelle National Biodefense Institute LLC,Operational,,,,39.44,-77.42,Yes,No,Suit,2008,Both,980 SqM,Defense,Yes,BSL4
