"region","lab_count_total","bsl3plus_count","bsl4_count","acronym","riverflood_change","riverflood_attribution","heavyprecipitation_change","heavyprecipitation_attribution","meanprecipitation_changes","meanprecipitation_attribution","firewether_changes","firewether_attribution","tropicalcyclone_changes","tropicalcyclone_attribution","severewindstorm_changes","severewindstorm_attribution","relativesealevel_changes","relativesealevel_attribution","coastalflood_changes","coastalflood_attribution","X","X.1","X.2","X.3","X.4","X.5","X.6"
"Central Africa (CAF)",2,1,1,"CAF","Medium confidence of increase","","High confidence of increase","","","","","","","","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"Central North America (CNA)",8,4,4,"CNA","Medium confidence of increase","High confidence of increase","Upward trend with medium confidence of attribution","","","","Medium confidence of increase","","Medium confidence of increase","","Medium confidence of increase",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","Upward trend without attribution",NA,NA,NA,NA,NA,NA,NA
"East Asia (EAS)",7,2,5,"EAS","Medium confidence of increase","","High confidence of increase","Upward trend without attribution","High confidence of increase","","Medium confidence of increase","","Medium confidence of increase","Upward trend without attribution","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"East Southern Africa (ESAF)",2,1,1,"ESAF","","","High confidence of increase","Upward trend without attribution","Medium confidence of decrease","Downward trend without attribution","High confidence of increase","","Medium confidence of increase","","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"Eastern Australia (EAU)",2,0,2,"EAU","Medium confidence of increase","","","","Medium confidence of decrease","","High confidence of increase","","","","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"Eastern North America (ENA)",17,11,6,"ENA","High confidence of increase","Upward trend without attribution","Medium confidence of increase","","High confidence of increase","Upward trend without attribution","","","Medium confidence of increase","","Medium confidence of increase",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","Upward trend without attribution",NA,NA,NA,NA,NA,NA,NA
"Mediterranean (MED)",5,4,1,"MED","Medium confidence of decrease","Downward trend without attribution","Medium confidence of increase","","High confidence of decrease","","High confidence of increase","","","","Medium confidence of increase",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"New Zealand (NZ)",1,1,0,"NZ","Medium confidence of increase","","Medium confidence of increase","","","","","","","","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"North-Eastern South America (NES)",1,1,0,"NES","","","Medium confidence of increase","","High confidence of decrease","Downward trend without attribution","High confidence of increase","","","","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"North-Western North America (NWN)",1,0,1,"NWN","Medium confidence of increase","","High confidence of increase","","High confidence of increase","","Upward trend without attribution","","","","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","Upward trend without attribution",NA,NA,NA,NA,NA,NA,NA
"Northern Central America (NCA)",1,0,1,"NCA","","","High confidence of increase","","Medium confidence of decrease","","High confidence of increase","Upward trend without attribution","Medium confidence of increase","","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","Upward trend without attribution",NA,NA,NA,NA,NA,NA,NA
"Northern Europe (NEU)",15,6,9,"NEU","Medium confidence of decrease","Downward trend without attribution","High confidence of increase","Upward trend with high confidence of attribution","High confidence of increase","Upward trend without attribution","","","","Mean wind speed","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"South Asia (SAS)",5,1,4,"SAS","Medium confidence of increase","","High confidence of increase","Upward trend without attribution","High confidence of increase","Downward trend without attribution","Medium confidence of increase","","","","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"South East Asia (SEA)",5,4,1,"SEA","Medium confidence of increase","","High confidence of increase","Upward trend without attribution","Medium confidence of increase","","","","Medium confidence of increase","Upward trend without attribution","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"South-Eastern South America (SES)",4,3,1,"SES","Medium confidence of increase","","Medium confidence of increase","Upward trend without attribution","High confidence of increase","Upward trend without attribution","","","","","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"Southern Australia (SAU)",2,0,2,"SAU","Medium confidence of increase","","","","Medium confidence of decrease","","High confidence of increase","Upward trend with medium confidence of attribution","","","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"West Siberia (WSB)",1,0,1,"WSB","","","High confidence of increase","Upward trend without attribution","High confidence of increase","Upward trend without attribution","Medium confidence of increase","","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,NA
"Western Africa (WAF)",1,0,1,"WAF","","","High confidence of increase","","","","","","","","",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
"Western North America (WNA)",4,3,1,"WNA","Medium confidence of increase","","Medium confidence of increase","","","","High confidence of increase","Upward trend without attribution","","","Medium confidence of increase",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","Upward trend without attribution",NA,NA,NA,NA,NA,NA,NA
"Western and Central Europe (WCE)",23,9,14,"WCE","High confidence of increase","Upward trend without attribution","High confidence of increase","Upward trend without attribution","","","","","","","Medium confidence of increase",NA,"High confidence of increase","Upward trend without attribution","High confidence of increase","",NA,NA,NA,NA,NA,NA,NA
NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
